segment_id,token,proposed_lemma
dbg_book01_ch035,iterum,iterum
dbg_book01_ch035,adfectus,adfectus
dbg_book01_ch035,amicus,amicus
dbg_book01_ch036,ariouistus,ariouistus
dbg_book01_ch036,ius,ius
dbg_book01_ch036,qui,qui
dbg_book01_ch036,item,item
dbg_book01_ch036,arbitrium,arbitrium
dbg_book01_ch036,qui,qui
dbg_book01_ch036,qui,qui
dbg_book01_ch037,qui,qui
dbg_book01_ch037,autem,autem
dbg_book01_ch037,centum,centum
dbg_book01_ch037,qui,qui
dbg_book01_ch037,cimberium,cimberium
dbg_book01_ch037,manus,manus
dbg_book01_ch038,facultas,facultas
dbg_book01_ch038,natura,natura
dbg_book01_ch038,propterea,propterea
dbg_book01_ch038,spatium,spatium
dbg_book01_ch038,murus,murus
dbg_book01_ch038,praesidium,praesidium
dbg_book01_ch039,causa,causa
dbg_book01_ch039,qui,qui
dbg_book01_ch039,tantus,tantus
dbg_book01_ch039,ortus,ortus
dbg_book01_ch039,qui,qui
dbg_book01_ch039,causa,causa
dbg_book01_ch039,alius,alius
dbg_book01_ch039,causa,causa
dbg_book01_ch039,interdum,interdum
dbg_book01_ch039,fatum,fatum
dbg_book01_ch039,periculum,periculum
dbg_book01_ch039,totis,totis
dbg_book01_ch039,ii,ii
dbg_book01_ch039,qui,qui
dbg_book01_ch039,qui,qui
dbg_book01_ch040,consilium,consilium
dbg_book01_ch040,quisquam,quisquam
dbg_book01_ch040,tandem,tandem
dbg_book01_ch040,diligentia,diligentia
dbg_book01_ch040,periculum,periculum
dbg_book01_ch040,memoria,memoria
dbg_book01_ch040,usus,usus
dbg_book01_ch040,disciplina,disciplina
dbg_book01_ch040,quantum,quantum
dbg_book01_ch040,constantia,constantia
dbg_book01_ch040,propterea,propterea
dbg_book01_ch040,causa,causa
dbg_book01_ch040,solum,solum
dbg_book01_ch040,qui,qui
dbg_book01_ch040,proelium,proelium
dbg_book01_ch040,fuga,fuga
dbg_book01_ch040,menses,menses
dbg_book01_ch040,sui,sui
dbg_book01_ch040,pugna,pugna
dbg_book01_ch040,locus,locus
dbg_book01_ch040,qui,qui
dbg_book01_ch040,frumentum,frumentum
dbg_book01_ch040,uita,uita
dbg_book01_ch040,uigilia,uigilia
dbg_book01_ch040,utrum,utrum
dbg_book01_ch040,officium,officium
dbg_book01_ch040,plus,plus
dbg_book01_ch041,alacritas,alacritas
dbg_book01_ch041,cupiditas,cupiditas
dbg_book01_ch041,iudicium,iudicium
dbg_book01_ch041,paratissimam,paratissimam
dbg_book01_ch041,umquam,umquam
dbg_book01_ch041,iudicium,iudicium
dbg_book01_ch041,quinquaginta,quinquaginta
dbg_book01_ch041,uigilia,uigilia
dbg_book01_ch041,profectus,profectus
dbg_book01_ch041,iiii,iiii
dbg_book01_ch042,caesaris,caesaris
dbg_book01_ch042,ariouistus,ariouistus
dbg_book01_ch042,propius,propius
dbg_book01_ch042,quintus,quintus
dbg_book01_ch042,ariouistus,ariouistus
dbg_book01_ch042,causa,causa
dbg_book01_ch042,praesidium,praesidium
dbg_book01_ch042,opus,opus
dbg_book01_ch042,quidam,quidam
dbg_book01_ch042,plus,plus
dbg_book01_ch042,pollicitus,pollicitus
dbg_book01_ch043,planities,planities
dbg_book01_ch043,tumulus,tumulus
dbg_book01_ch043,terrenus,terrenus
dbg_book01_ch043,locus,locus
dbg_book01_ch043,spatium,spatium
dbg_book01_ch043,caesaris,caesaris
dbg_book01_ch043,item,item
dbg_book01_ch043,ariouistus,ariouistus
dbg_book01_ch043,amicus,amicus
dbg_book01_ch043,honorifica,honorifica
dbg_book01_ch043,prius,prius
dbg_book01_ch043,sui,sui
dbg_book01_ch043,gratia,gratia
dbg_book01_ch043,quis,quis
dbg_book01_ch044,ariouistus,ariouistus
dbg_book01_ch044,caesaris,caesaris
dbg_book01_ch044,sedes,sedes
dbg_book01_ch044,stipendium,stipendium
dbg_book01_ch044,iterum,iterum
dbg_book01_ch044,iterum,iterum
dbg_book01_ch044,tempus,tempus
dbg_book01_ch044,stipendium,stipendium
dbg_book01_ch044,sui,sui
dbg_book01_ch044,causa,causa
dbg_book01_ch044,testimonium,testimonium
dbg_book01_ch044,prius,prius
dbg_book01_ch044,numquam,numquam
dbg_book01_ch044,tempus,tempus
dbg_book01_ch044,item,item
dbg_book01_ch044,nos,nos
dbg_book01_ch044,auxilium,auxilium
dbg_book01_ch044,sequanis,sequanis
dbg_book01_ch044,amicitia,amicitia
dbg_book01_ch044,sui,sui
dbg_book01_ch044,causa,causa
dbg_book01_ch044,qui,qui
dbg_book01_ch045,romanus,romanus
dbg_book01_ch045,stipendium,stipendium
dbg_book01_ch045,tempus,tempus
dbg_book01_ch045,imperium,imperium
dbg_book01_ch045,iudicium,iudicium
dbg_book01_ch046,propius,propius
dbg_book01_ch046,proelium,proelium
dbg_book01_ch046,uulgus,uulgus
dbg_book01_ch046,arrogantia,arrogantia
dbg_book01_ch046,ariouistus,ariouistus
dbg_book01_ch046,usus,usus
dbg_book01_ch046,alacritas,alacritas
dbg_book01_ch047,ariouistus,ariouistus
dbg_book01_ch047,iterum,iterum
dbg_book01_ch047,causa,causa
dbg_book01_ch047,tela,tela
dbg_book01_ch047,ualerium,ualerium
dbg_book01_ch047,ariouistus,ariouistus
dbg_book01_ch047,causa,causa
dbg_book01_ch047,metium,metium
dbg_book01_ch047,qui,qui
dbg_book01_ch047,ariouistus,ariouistus
dbg_book01_ch047,ariouistus,ariouistus
dbg_book01_ch047,causa,causa
dbg_book01_ch048,caesaris,caesaris
dbg_book01_ch048,caesaris,caesaris
dbg_book01_ch048,ultra,ultra
dbg_book01_ch048,qui,qui
dbg_book01_ch048,sequanis,sequanis
dbg_book01_ch048,ariouistus,ariouistus
dbg_book01_ch048,potestas,potestas
dbg_book01_ch048,ariouistus,ariouistus
dbg_book01_ch048,genus,genus
dbg_book01_ch048,ui,ui
dbg_book01_ch048,totidem,totidem
dbg_book01_ch048,copia,copia
dbg_book01_ch048,causa,causa
dbg_book01_ch048,durius,durius
dbg_book01_ch048,qui,qui
dbg_book01_ch048,celeritas,celeritas
dbg_book01_ch049,ultra,ultra
dbg_book01_ch049,locus,locus
dbg_book01_ch049,ariouistus,ariouistus
dbg_book01_ch049,setius,setius
dbg_book01_ch049,acies,acies
dbg_book01_ch049,opus,opus
dbg_book01_ch050,progressus,progressus
dbg_book01_ch050,demum,demum
dbg_book01_ch050,ariouistus,ariouistus
dbg_book01_ch050,ariouistus,ariouistus
dbg_book01_ch050,ariouistus,ariouistus
dbg_book01_ch050,utrum,utrum
dbg_book01_ch050,proelium,proelium
dbg_book01_ch050,fas,fas
dbg_book01_ch051,demum,demum
dbg_book01_ch051,sedusios,sedusios
dbg_book01_ch051,spes,spes
dbg_book01_ch051,fuga,fuga
dbg_book01_ch051,proelium,proelium
dbg_book01_ch052,proelium,proelium
dbg_book01_ch052,spatium,spatium
dbg_book01_ch052,pilis,pilis
dbg_book01_ch052,comminus,comminus
dbg_book01_ch052,impetus,impetus
dbg_book01_ch052,qui,qui
dbg_book01_ch052,phalanga,phalanga
dbg_book01_ch052,acies,acies
dbg_book01_ch052,crassus,crassus
dbg_book01_ch052,qui,qui
dbg_book01_ch052,ii,ii
dbg_book01_ch052,qui,qui
dbg_book01_ch053,proelium,proelium
dbg_book01_ch053,terga,terga
dbg_book01_ch053,prius,prius
dbg_book01_ch053,ariouistus,ariouistus
dbg_book01_ch053,qui,qui
dbg_book01_ch053,sueba,sueba
dbg_book01_ch053,fuga,fuga
dbg_book01_ch053,ualerius,ualerius
dbg_book01_ch053,procillus,procillus
dbg_book01_ch053,fuga,fuga
dbg_book01_ch053,trinis,trinis
dbg_book01_ch053,uictoria,uictoria
dbg_book01_ch053,fortuna,fortuna
dbg_book01_ch053,is,is
dbg_book01_ch053,utrum,utrum
dbg_book01_ch053,tempus,tempus
dbg_book01_ch053,sortium,sortium
dbg_book01_ch053,item,item
dbg_book01_ch054,qui,qui
dbg_book01_ch054,qui,qui
dbg_book01_ch054,tempus,tempus
dbg_book01_ch054,hiberna,hiberna
dbg_book01_ch054,conuentus,conuentus
dbg_book01_ch054,profectus,profectus
