feature_set,metric,test,dropped_book,r,p,delta_r_vs_full
Char 3-grams,Delta,DBC_Anchor,7,-0.8857142857142858,0.016666666666666666,0.04285714285714304
Char 3-grams,Cosine,DBC_Anchor,7,-0.7142857142857143,0.06805555555555555,0.03571428571428592
Char 3-grams,Delta,Mantel,7,0.4374111314309267,0.06666666666666667,0.15687093374568817
Char 3-grams,Cosine,Mantel,7,0.4229449664677296,0.09722222222222222,0.09131076608509703
Function Words,Delta,DBC_Anchor,1,-0.3142857142857143,0.28194444444444444,-0.09999999999999995
Function Words,Cosine,DBC_Anchor,1,-0.4285714285714286,0.20972222222222223,0.2142857142857144
Function Words,Delta,Mantel,1,-0.09048069714393864,0.6194444444444445,-0.17779378957165637
Function Words,Cosine,Mantel,1,0.16451017927189276,0.275,-0.28521954871329985
Function Words,Delta,DBC_Anchor,2,-0.3714285714285715,0.24861111111111112,-0.15714285714285717
Function Words,Cosine,DBC_Anchor,2,-0.6571428571428573,0.0875,-0.014285714285714235
Function Words,Delta,Mantel,2,0.17204409329306355,0.3013888888888889,0.08473100086534584
Function Words,Cosine,Mantel,2,0.7078455943538512,0.013888888888888888,0.2581158663686586
Function Words,Delta,DBC_Anchor,3,-0.3714285714285715,0.24861111111111112,-0.15714285714285717
Function Words,Cosine,DBC_Anchor,3,-0.6571428571428573,0.0875,-0.014285714285714235
Function Words,Delta,Mantel,3,-0.012460637542846764,0.5180555555555556,-0.09977372997056448
Function Words,Cosine,Mantel,3,0.4221574708431209,0.06388888888888888,-0.027572257142071732
Function Words,Delta,DBC_Anchor,4,-0.2571428571428572,0.32916666666666666,-0.042857142857142844
Function Words,Cosine,DBC_Anchor,4,-0.6571428571428573,0.0875,-0.014285714285714235
Function Words,Delta,Mantel,4,0.17838066670357533,0.24305555555555555,0.09106757427585761
Function Words,Cosine,Mantel,4,0.40218949936198656,0.03888888888888889,-0.04754022862320606
Function Words,Delta,DBC_Anchor,5,0.028571428571428574,0.5402777777777777,0.2428571428571429
Function Words,Cosine,DBC_Anchor,5,-0.6571428571428573,0.0875,-0.014285714285714235
Function Words,Delta,Mantel,5,0.11699852704296099,0.3388888888888889,0.02968543461524327
Function Words,Cosine,Mantel,5,0.3702764680007364,0.08611111111111111,-0.07945325998445624
Function Words,Delta,DBC_Anchor,6,-0.48571428571428577,0.17777777777777778,-0.27142857142857146
Function Words,Cosine,DBC_Anchor,6,-1.0,0.001388888888888889,-0.357142857142857
Function Words,Delta,Mantel,6,-0.043735638317694725,0.5277777777777778,-0.13104873074541246
Function Words,Cosine,Mantel,6,0.3485888530784135,0.18472222222222223,-0.10114087490677914
Function Words,Delta,DBC_Anchor,7,0.2571428571428572,0.7180555555555556,0.47142857142857153
Function Words,Cosine,DBC_Anchor,7,-0.4285714285714286,0.20972222222222223,0.2142857142857144
Function Words,Delta,Mantel,7,0.41029911475335856,0.08055555555555556,0.32298602232564083
Function Words,Cosine,Mantel,7,0.6174197335036435,0.018055555555555554,0.16769000551845092
