corpus,feature_set,feat_label,distance,dbc_r,dbc_p,dbc_ci_low,dbc_ci_high,mantel_r,mantel_p,mantel_ci_low,mantel_ci_high
Cicero Ad Atticum (yearly),mfw300,MFW 300 (tokens),Cosine,-0.6242424242424242,0.03079969200307997,-0.987012987012987,0.271523178807947,0.353154214770869,0.024739752602473974,0.05198458159315734,0.5848725956666243
Cicero Ad Atticum (yearly),mfw300,MFW 300 (lemmas),Delta,-0.4666666666666666,0.0887591124088759,-0.9872611464968155,0.3788819875776398,0.22695606625129328,0.08810911890881092,-0.10359386566605519,0.5011640983231801
Cicero Ad Atticum (yearly),mfw300,MFW 300 (lemmas),Cosine,-0.5030303030303029,0.07285927140728593,-0.958340517241379,0.3116883116883117,0.284487184880603,0.05747942520574794,-0.01599552831112347,0.5207501876422573
Cicero Ad Atticum (yearly),char2gram,Char 2-grams,Delta,-0.4666666666666666,0.0890591094089059,-0.8867924528301887,0.36645962732919257,0.0027864188882038288,0.4800451995480045,-0.2375686840016016,0.26131112548239904
Cicero Ad Atticum (yearly),char2gram,Char 2-grams,Cosine,-0.4545454545454545,0.0966290337096629,-0.9629629629629629,0.38461538461538464,0.26198754031402866,0.061479385206147937,-0.04789065304099195,0.5712574097427339
Cicero Ad Atticum (yearly),char3gram,Char 3-grams,Delta,-0.24848484848484845,0.24606753932460676,-0.8261137949543746,0.5625400641025635,0.17400277540358372,0.14685853141468586,-0.14508351041306355,0.48318399134684153
Cicero Ad Atticum (yearly),char3gram,Char 3-grams,Cosine,-0.5878787878787878,0.04000959990400096,-0.9607843137254901,0.15584415584415584,0.27154997434819417,0.056019439805601944,-0.05755014388044803,0.5706389023346335
Cicero Ad Atticum (yearly),char4gram,Char 4-grams,Delta,-0.29696969696969694,0.2035779642203578,-0.813777526821005,0.44654088050314467,0.11256450937720737,0.2560774392256077,-0.19335929673577823,0.39695319900973824
Cicero Ad Atticum (yearly),char4gram,Char 4-grams,Cosine,-0.6606060606060605,0.021859781402185977,-0.9874213836477987,0.09433962264150944,0.3585913732398761,0.025749742502574974,0.037881483200310276,0.6228905304804462
DBC Pseudo-Books,function_words,Function Words (tokens),Delta,-0.14285714285714288,0.39126984126984127,-0.8867924528301889,0.9999999999999999,0.20660328379599435,0.2009920634920635,-0.20419708670652195,0.6364205414773758
DBC Pseudo-Books,function_words,Function Words (tokens),Cosine,-0.10714285714285716,0.41984126984126985,-0.8867924528301889,0.8867924528301889,0.14104285940296396,0.28134920634920635,-0.27718586678175977,0.5790562905879162
DBC Pseudo-Books,function_words,Function Words (lemmas),Delta,-0.3214285714285715,0.2488095238095238,-1.0,0.8666666666666666,0.20193481607065444,0.22361111111111112,-0.2297661096768232,0.6468627869132595
DBC Pseudo-Books,function_words,Function Words (lemmas),Cosine,0.03571428571428572,0.5468253968253968,-0.8666666666666666,0.9999999999999999,0.17335962584161088,0.2398809523809524,-0.2417095935306737,0.5753434678942351
DBC Pseudo-Books,mfw100,MFW 100 (tokens),Delta,-0.3214285714285715,0.2488095238095238,nan,nan,0.18367295698356584,0.20773809523809525,-0.21074306639792734,0.5316423446743767
DBC Pseudo-Books,mfw100,MFW 100 (tokens),Cosine,0.03571428571428572,0.5468253968253968,-0.8666666666666666,1.0,0.008269821537273292,0.45595238095238094,-0.40249321461229626,0.38434609592179764
