feature_set,representation,lexical,mfw,condition,distance,mantel_r,mantel_p,dbc_r,dbc_p
MFW 100,word,tokens,50,Full corpus (no exclusions),Delta,0.12837168041283467,0.3107142857142857,-0.8571428571428573,0.011904761904761904
MFW 100,word,tokens,50,Full corpus (no exclusions),Cosine,0.46604573454390663,0.018055555555555554,-0.9285714285714288,0.003373015873015873
MFW 100,word,tokens,50,Without Book VI Germanic excursus,Delta,0.16942264894220188,0.25853174603174606,-0.9285714285714288,0.003373015873015873
MFW 100,word,tokens,50,Without Book VI Germanic excursus,Cosine,0.40339345725861603,0.05357142857142857,-0.7500000000000002,0.033134920634920635
MFW 100,word,tokens,50,Without Book V British excursus,Delta,0.08367968025669743,0.36706349206349204,-0.8571428571428573,0.011904761904761904
MFW 100,word,tokens,50,Without Book V British excursus,Cosine,0.44882766876211483,0.025992063492063493,-0.9285714285714288,0.003373015873015873
MFW 100,word,tokens,50,Without Both excursuses,Delta,0.13477704881277225,0.2996031746031746,-0.9285714285714288,0.003373015873015873
MFW 100,word,tokens,50,Without Both excursuses,Cosine,0.3926989706510522,0.058333333333333334,-0.7500000000000002,0.033134920634920635
MFW 100,word,tokens,100,Full corpus (no exclusions),Delta,0.12837168041283467,0.3107142857142857,-0.8571428571428573,0.011904761904761904
MFW 100,word,tokens,100,Full corpus (no exclusions),Cosine,0.46604573454390663,0.018055555555555554,-0.9285714285714288,0.003373015873015873
MFW 100,word,tokens,100,Without Book VI Germanic excursus,Delta,0.16942264894220188,0.25853174603174606,-0.9285714285714288,0.003373015873015873
MFW 100,word,tokens,100,Without Book VI Germanic excursus,Cosine,0.40339345725861603,0.05357142857142857,-0.7500000000000002,0.033134920634920635
MFW 100,word,tokens,100,Without Book V British excursus,Delta,0.08367968025669743,0.36706349206349204,-0.8571428571428573,0.011904761904761904
MFW 100,word,tokens,100,Without Book V British excursus,Cosine,0.44882766876211483,0.025992063492063493,-0.9285714285714288,0.003373015873015873
MFW 100,word,tokens,100,Without Both excursuses,Delta,0.13477704881277225,0.2996031746031746,-0.9285714285714288,0.003373015873015873
MFW 100,word,tokens,100,Without Both excursuses,Cosine,0.3926989706510522,0.058333333333333334,-0.7500000000000002,0.033134920634920635
MFW 100 (lemmas),word,lemmas,50,Full corpus (no exclusions),Delta,0.3759505649400653,0.05317460317460317,-0.9285714285714288,0.003373015873015873
MFW 100 (lemmas),word,lemmas,50,Full corpus (no exclusions),Cosine,0.6276822192327733,0.005555555555555556,-0.9285714285714288,0.003373015873015873
MFW 100 (lemmas),word,lemmas,50,Without Book VI Germanic excursus,Delta,0.4571213263104055,0.025396825396825397,-0.8214285714285715,0.017063492063492062
MFW 100 (lemmas),word,lemmas,50,Without Book VI Germanic excursus,Cosine,0.5944395401584819,0.012698412698412698,-0.8214285714285715,0.017063492063492062
MFW 100 (lemmas),word,lemmas,50,Without Book V British excursus,Delta,0.35688836456858625,0.060714285714285714,-0.9285714285714288,0.003373015873015873
MFW 100 (lemmas),word,lemmas,50,Without Book V British excursus,Cosine,0.6149369595496816,0.006746031746031746,-0.9285714285714288,0.003373015873015873
MFW 100 (lemmas),word,lemmas,50,Without Both excursuses,Delta,0.44477229033753896,0.03015873015873016,-0.8214285714285715,0.017063492063492062
MFW 100 (lemmas),word,lemmas,50,Without Both excursuses,Cosine,0.5875096675539397,0.013095238095238096,-0.8214285714285715,0.017063492063492062
MFW 100 (lemmas),word,lemmas,100,Full corpus (no exclusions),Delta,0.3759505649400653,0.05317460317460317,-0.9285714285714288,0.003373015873015873
MFW 100 (lemmas),word,lemmas,100,Full corpus (no exclusions),Cosine,0.6276822192327733,0.005555555555555556,-0.9285714285714288,0.003373015873015873
MFW 100 (lemmas),word,lemmas,100,Without Book VI Germanic excursus,Delta,0.4571213263104055,0.025396825396825397,-0.8214285714285715,0.017063492063492062
MFW 100 (lemmas),word,lemmas,100,Without Book VI Germanic excursus,Cosine,0.5944395401584819,0.012698412698412698,-0.8214285714285715,0.017063492063492062
MFW 100 (lemmas),word,lemmas,100,Without Book V British excursus,Delta,0.35688836456858625,0.060714285714285714,-0.9285714285714288,0.003373015873015873
MFW 100 (lemmas),word,lemmas,100,Without Book V British excursus,Cosine,0.6149369595496816,0.006746031746031746,-0.9285714285714288,0.003373015873015873
MFW 100 (lemmas),word,lemmas,100,Without Both excursuses,Delta,0.44477229033753896,0.03015873015873016,-0.8214285714285715,0.017063492063492062
MFW 100 (lemmas),word,lemmas,100,Without Both excursuses,Cosine,0.5875096675539397,0.013095238095238096,-0.8214285714285715,0.017063492063492062
MFW 200,word,tokens,100,Full corpus (no exclusions),Delta,0.2471118305291835,0.15793650793650793,-0.9642857142857145,0.001388888888888889
MFW 200,word,tokens,100,Full corpus (no exclusions),Cosine,0.48253169221173753,0.017063492063492062,-0.9642857142857145,0.001388888888888889
MFW 200,word,tokens,100,Without Book VI Germanic excursus,Delta,0.2813983234798644,0.1357142857142857,-0.9642857142857145,0.001388888888888889
MFW 200,word,tokens,100,Without Book VI Germanic excursus,Cosine,0.4147344851726226,0.051587301587301584,-0.7857142857142859,0.02400793650793651
MFW 200,word,tokens,100,Without Book V British excursus,Delta,0.2136017157197279,0.18591269841269842,-0.9642857142857145,0.001388888888888889
MFW 200,word,tokens,100,Without Book V British excursus,Cosine,0.4684712728875218,0.02142857142857143,-0.9642857142857145,0.001388888888888889
MFW 200,word,tokens,100,Without Both excursuses,Delta,0.2609281141760051,0.15198412698412697,-0.9642857142857145,0.001388888888888889
MFW 200,word,tokens,100,Without Both excursuses,Cosine,0.40552319903449197,0.05357142857142857,-0.7857142857142859,0.02400793650793651
MFW 200,word,tokens,200,Full corpus (no exclusions),Delta,0.2471118305291835,0.15793650793650793,-0.9642857142857145,0.001388888888888889
MFW 200,word,tokens,200,Full corpus (no exclusions),Cosine,0.48253169221173753,0.017063492063492062,-0.9642857142857145,0.001388888888888889
MFW 200,word,tokens,200,Without Book VI Germanic excursus,Delta,0.2813983234798644,0.1357142857142857,-0.9642857142857145,0.001388888888888889
MFW 200,word,tokens,200,Without Book VI Germanic excursus,Cosine,0.4147344851726226,0.051587301587301584,-0.7857142857142859,0.02400793650793651
MFW 200,word,tokens,200,Without Book V British excursus,Delta,0.2136017157197279,0.18591269841269842,-0.9642857142857145,0.001388888888888889
MFW 200,word,tokens,200,Without Book V British excursus,Cosine,0.4684712728875218,0.02142857142857143,-0.9642857142857145,0.001388888888888889
MFW 200,word,tokens,200,Without Both excursuses,Delta,0.2609281141760051,0.15198412698412697,-0.9642857142857145,0.001388888888888889
MFW 200,word,tokens,200,Without Both excursuses,Cosine,0.40552319903449197,0.05357142857142857,-0.7857142857142859,0.02400793650793651
MFW 200 (lemmas),word,lemmas,100,Full corpus (no exclusions),Delta,0.20079508686500605,0.20317460317460317,-0.7500000000000002,0.033134920634920635
MFW 200 (lemmas),word,lemmas,100,Full corpus (no exclusions),Cosine,0.6419001632733639,0.005555555555555556,-0.9285714285714288,0.003373015873015873
MFW 200 (lemmas),word,lemmas,100,Without Book VI Germanic excursus,Delta,0.26331736057342137,0.14126984126984127,-0.6071428571428572,0.08333333333333333
MFW 200 (lemmas),word,lemmas,100,Without Book VI Germanic excursus,Cosine,0.6003279814645979,0.012896825396825396,-0.8214285714285715,0.017063492063492062
MFW 200 (lemmas),word,lemmas,100,Without Book V British excursus,Delta,0.1866289778102485,0.2246031746031746,-0.7500000000000002,0.033134920634920635
