segment_id,work,book,chapter,tokens
dbg_book06_ch015,dbg,6,15,62
dbg_book06_ch016,dbg,6,16,119
dbg_book06_ch017,dbg,6,17,140
dbg_book06_ch018,dbg,6,18,83
dbg_book06_ch019,dbg,6,19,142
dbg_book06_ch020,dbg,6,20,81
dbg_book06_ch021,dbg,6,21,122
dbg_book06_ch022,dbg,6,22,120
dbg_book06_ch023,dbg,6,23,189
dbg_book06_ch024,dbg,6,24,125
dbg_book06_ch025,dbg,6,25,122
dbg_book06_ch026,dbg,6,26,46
dbg_book06_ch027,dbg,6,27,113
dbg_book06_ch028,dbg,6,28,116
dbg_book06_ch029,dbg,6,29,171
dbg_book06_ch030,dbg,6,30,163
dbg_book06_ch031,dbg,6,31,132
dbg_book06_ch032,dbg,6,32,166
dbg_book06_ch033,dbg,6,33,112
dbg_book06_ch034,dbg,6,34,238
dbg_book06_ch035,dbg,6,35,244
dbg_book06_ch036,dbg,6,36,149
dbg_book06_ch037,dbg,6,37,186
dbg_book06_ch038,dbg,6,38,104
dbg_book06_ch039,dbg,6,39,83
dbg_book06_ch040,dbg,6,40,211
dbg_book06_ch041,dbg,6,41,89
dbg_book06_ch042,dbg,6,42,79
dbg_book06_ch043,dbg,6,43,161
dbg_book06_ch044,dbg,6,44,91
dbg_book07_ch001,dbg,7,1,199
dbg_book07_ch002,dbg,7,2,79
dbg_book07_ch003,dbg,7,3,109
dbg_book07_ch004,dbg,7,4,242
dbg_book07_ch005,dbg,7,5,152
dbg_book07_ch006,dbg,7,6,77
dbg_book07_ch007,dbg,7,7,94
dbg_book07_ch008,dbg,7,8,97
dbg_book07_ch009,dbg,7,9,165
dbg_book07_ch010,dbg,7,10,106
dbg_book07_ch011,dbg,7,11,96
dbg_book07_ch012,dbg,7,12,141
dbg_book07_ch013,dbg,7,13,101
dbg_book07_ch014,dbg,7,14,209
dbg_book07_ch015,dbg,7,15,131
dbg_book07_ch016,dbg,7,16,73
dbg_book07_ch017,dbg,7,17,221
dbg_book07_ch018,dbg,7,18,91
dbg_book07_ch019,dbg,7,19,163
dbg_book07_ch020,dbg,7,20,367
dbg_book07_ch021,dbg,7,21,73
dbg_book07_ch022,dbg,7,22,131
dbg_book07_ch023,dbg,7,23,147
dbg_book07_ch024,dbg,7,24,167
dbg_book07_ch025,dbg,7,25,132
dbg_book07_ch026,dbg,7,26,137
dbg_book07_ch027,dbg,7,27,83
dbg_book07_ch028,dbg,7,28,186
dbg_book07_ch029,dbg,7,29,139
dbg_book07_ch030,dbg,7,30,102
dbg_book07_ch031,dbg,7,31,126
dbg_book07_ch032,dbg,7,32,171
dbg_book07_ch033,dbg,7,33,172
dbg_book07_ch034,dbg,7,34,99
dbg_book07_ch035,dbg,7,35,159
dbg_book07_ch036,dbg,7,36,215
dbg_book07_ch037,dbg,7,37,186
dbg_book07_ch038,dbg,7,38,236
dbg_book07_ch039,dbg,7,39,125
dbg_book07_ch040,dbg,7,40,152
dbg_book07_ch041,dbg,7,41,124
dbg_book07_ch042,dbg,7,42,125
dbg_book07_ch043,dbg,7,43,141
dbg_book07_ch044,dbg,7,44,126
dbg_book07_ch045,dbg,7,45,202
dbg_book07_ch046,dbg,7,46,124
dbg_book07_ch047,dbg,7,47,203
dbg_book07_ch048,dbg,7,48,107
dbg_book07_ch049,dbg,7,49,73
dbg_book07_ch050,dbg,7,50,199
dbg_book07_ch051,dbg,7,51,80
dbg_book07_ch052,dbg,7,52,125
dbg_book07_ch053,dbg,7,53,101
dbg_book07_ch054,dbg,7,54,126
dbg_book07_ch055,dbg,7,55,208
dbg_book07_ch056,dbg,7,56,138
dbg_book07_ch057,dbg,7,57,102
dbg_book07_ch058,dbg,7,58,132
dbg_book07_ch059,dbg,7,59,136
dbg_book07_ch060,dbg,7,60,102
dbg_book07_ch061,dbg,7,61,127
dbg_book07_ch062,dbg,7,62,213
dbg_book07_ch063,dbg,7,63,167
dbg_book07_ch064,dbg,7,64,151
dbg_book07_ch065,dbg,7,65,139
dbg_book07_ch066,dbg,7,66,209
