"Caesar_DBC" "Caesar_DBG-01" "Caesar_DBG-02" "Caesar_DBG-03" "Caesar_DBG-04" "Caesar_DBG-05" "Caesar_DBG-06" "Caesar_DBG-07" "Hirtius_DBG-08"
"diebus" 0.136239782016349 0.0367107195301028 0 0.111513799832729 0.109170305676856 0.0542299349240781 0.0731528895391368 0.054585152838428 0.0617474529175671
"omni" 0.0650235323259846 0.0978952520802741 0.0962232379119557 0.139392249790912 0.109170305676856 0.0949023861171367 0.0731528895391368 0.13646288209607 0.0771843161469589
"uero" 0.148625216745108 0.0367107195301028 0.0721674284339668 0.083635349874547 0.0655021834061135 0.0677874186550976 0.0548646671543526 0.0363901018922853 0.0308737264587836
"passuum" 0.0588308149616052 0.134605971610377 0.168390666345923 0 0.131004366812227 0.203362255965293 0.0731528895391368 0.100072780203785 0
"autem" 0.0928907604656923 0.0978952520802741 0.0481116189559779 0.083635349874547 0.0655021834061135 0.0677874186550976 0.0365764447695684 0.0454876273653566 0.216116085211485
"equitatu" 0.0619271736437949 0.0734214390602056 0.0962232379119557 0.0557568999163646 0.109170305676856 0.0949023861171367 0.146305779078274 0.145560407569141 0.0617474529175671
"essent" 0.102179836512262 0.146842878120411 0.0240558094779889 0.111513799832729 0.131004366812227 0.0406724511930586 0.0365764447695684 0.027292576419214 0.123494905835134
"ciuitates" 0.0588308149616052 0.0734214390602056 0.0962232379119557 0.167270699749094 0.0436681222707424 0.0677874186550976 0.0548646671543526 0.0727802037845706 0.277863538129052
"eam" 0.0774089670547436 0.183553597650514 0.0481116189559779 0.167270699749094 0.0436681222707424 0.0813449023861171 0.091441111923921 0.054585152838428 0.0617474529175671
"gallia" 0.0278672281397077 0.183553597650514 0.192446475823911 0.083635349874547 0.0873362445414847 0.176247288503254 0.091441111923921 0.054585152838428 0.108058042605743
"fere" 0.0681198910081744 0.0367107195301028 0.0721674284339668 0.223027599665459 0.109170305676856 0.122017353579176 0.146305779078274 0.0727802037845706 0.0308737264587836
"hominum" 0.0650235323259846 0.122369065100343 0.144334856867934 0.139392249790912 0.0873362445414847 0.0542299349240781 0.128017556693489 0.0454876273653566 0.0926211793763507
"ipsi" 0.0619271736437949 0.0856583455702398 0.120279047389945 0.083635349874547 0.0873362445414847 0.0542299349240781 0.0731528895391368 0.118267831149927 0.108058042605743
"rerum" 0.0805053257369334 0.0978952520802741 0.120279047389945 0.083635349874547 0.0873362445414847 0.0542299349240781 0.164594001463058 0.0454876273653566 0.0463105896881754
"tempus" 0.0805053257369334 0.0734214390602056 0.120279047389945 0.083635349874547 0.109170305676856 0.0813449023861171 0.0731528895391368 0.054585152838428 0.0926211793763507
"aduentu" 0.0866980431013128 0.0489476260401371 0.0962232379119557 0.083635349874547 0.0436681222707424 0.0813449023861171 0.0731528895391368 0.0818777292576419 0.0926211793763507
"nihil" 0.0557344562794154 0.0734214390602056 0.144334856867934 0.167270699749094 0.109170305676856 0.162689804772234 0.0548646671543526 0.054585152838428 0.0617474529175671
"omnem" 0.0928907604656923 0.110132158590308 0.0481116189559779 0.0557568999163646 0.0218340611353712 0.108459869848156 0 0.0909752547307132 0.0617474529175671
"unum" 0.0650235323259846 0.0856583455702398 0.168390666345923 0.0557568999163646 0.0655021834061135 0.108459869848156 0.091441111923921 0.054585152838428 0.108058042605743
"exercitu" 0.0990834778300718 0.0489476260401371 0.0481116189559779 0.0557568999163646 0.0218340611353712 0.027114967462039 0.128017556693489 0.0727802037845706 0.108058042605743
"legatos" 0.0433490215506564 0.122369065100343 0.168390666345923 0.111513799832729 0.0873362445414847 0.135574837310195 0.128017556693489 0.0363901018922853 0.0771843161469589
"mittit" 0.0557344562794154 0.0367107195301028 0.0481116189559779 0.0557568999163646 0.0436681222707424 0.149132321041215 0.0548646671543526 0.118267831149927 0.16980549552331
"paucis" 0.102179836512262 0.0489476260401371 0.0240558094779889 0.139392249790912 0.0655021834061135 0.027114967462039 0.128017556693489 0.027292576419214 0.108058042605743
"armis" 0.0712162496903641 0.110132158590308 0.2165022853019 0.0557568999163646 0.131004366812227 0.0542299349240781 0.0548646671543526 0.0363901018922853 0.0617474529175671
"fuga" 0.0681198910081744 0.0734214390602056 0.0962232379119557 0.083635349874547 0.109170305676856 0.0406724511930586 0.109729334308705 0.0636826783114993 0.123494905835134
"militibus" 0.11766162992321 0.0244738130200685 0.0962232379119557 0.0278784499581823 0.0873362445414847 0.0677874186550976 0.0365764447695684 0.054585152838428 0.0308737264587836
"quidem" 0.0526380975972257 0.0978952520802741 0.0481116189559779 0.139392249790912 0.0655021834061135 0.0949023861171367 0.109729334308705 0.0909752547307132 0.0771843161469589
